TEXT,LABELS
"['From', 'EWB', 'Princeton', ':', 'The', 'reservoir', 'has', 'a', 'valve', 'box', 'that', 'controls', 'the', 'flow', 'of', 'water', 'to', 'the', 'different', 'water', 'lines', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'valve', 'box', 'has', 'X', 'valves', ':', '-', 'list', 'out', 'valves', 'and', 'labels', ';', 'good', 'to', 'have', 'extra', 'valves', 'installed', 'for', 'future', 'distribution', 'lines', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
"['If', 'valve', 'box', 'is', 'locked', ',', 'people', 'can', '’', 't', 'tamper', 'with', 'it', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"['Maintenance', 'Checklist', 'Every', 'Month', ':', 'Potential', 'Sources', 'of', 'Contamination', '-', 'Check', 'area', 'around', 'storage', 'tank', 'and', 'cistern', 'to', 'make', 'sure', 'no', 'contamination', 'has', 'been', 'introduced', 'in', 'the', 'surrounding', 'area', '.']","[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
"['Types', 'of', 'contamination', 'include', 'hazardous', 'waste', ',', 'gasoline', ',', 'oil', ',', 'etc', '.']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
"['If', 'we', 'think', 'people', 'will', 'use', 'this', 'for', 'drinking', ',', 'the', 'area', 'should', 'also', 'be', 'clear', 'of', 'fertilizer', ',', 'pesticides', 'or', 'other', 'toxins', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
"['-', 'No', 'waste', 'disposal', 'or', 'garbage', 'disposal', 'site', 'should', 'be', 'near', 'the', 'storage', 'tank', '.']","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
"['-', 'Ensure', 'that', 'there', 'are', 'no', 'pools', 'of', 'standing', 'water', 'near', 'the', 'storage', 'tanks', '(', 'indicator', 'of', 'leaks', ',', 'source', 'of','mold/fungus', ',', 'breeding', 'ground', 'for', 'mosquitoes', ',', 'etc', '.', ')']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
"['-', 'Keep', 'animals', 'out', 'of', 'the', 'drainage', 'area', '.']","[0, 0, 1, 0, 0, 0, 1, 0, 0]"
"['don', '’', 't', 'let', 'them', 'crawl', 'into', 'the', 'tank', '-', 'mesh', 'on', 'drainage', 'pipe', 'should', 'do', 'it', 'Filtering', 'Screens', '-', 'Ensure', 'all', 'filter', 'screens', 'are', 'in', 'place', 'and', 'securely', 'attached', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
